#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     41.8038     41.8038           0
           2     44.0702      42.937    0.801298
           3     45.1247     43.6662    0.799934
           4     44.6753     43.9185     0.63849
           5     44.9526     44.1253    0.543257
           6     43.1663     43.9655    0.475646
           7     44.6885     44.0688    0.418763
           8      44.334     44.1019    0.367728
           9     42.9737     43.9766     0.34758
          10     46.5727     44.2362    0.398144
          11      46.284     44.4223    0.403129
          12     46.1962     44.5702    0.395709
          13     44.1968     44.5414     0.36631
          14     44.3188     44.5255     0.34049
          15     42.8386     44.4131    0.335851
          16     44.6767     44.4296    0.315264
          17     41.9785     44.2854    0.328037
          18     45.3647     44.3453    0.315245
          19     44.5853      44.358    0.298906
          20     46.3874     44.4594    0.300692
