#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.92545     2.92545           0
           2     2.94245     2.93395  0.00600718
           3     2.91207     2.92666  0.00717623
           4     2.92485     2.92621  0.00539632
           5      3.0217      2.9453   0.0176197
           6     2.97621     2.95046   0.0154175
           7     2.97786     2.95437   0.0137031
           8     2.95493     2.95444   0.0119904
           9     2.99474     2.95892   0.0114639
          10     3.01847     2.96487    0.011763
          11     2.98559     2.96676   0.0108434
          12     2.95962     2.96616  0.00995606
          13     2.98019     2.96724  0.00924849
          14     2.99756     2.96941   0.0088378
          15     3.01238     2.97227  0.00870049
          16     2.95803     2.97138  0.00820213
          17     2.99358     2.97269  0.00782288
          18     2.99737     2.97406  0.00750748
          19     2.95781      2.9732  0.00716089
          20     2.99417     2.97425  0.00687914
