#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.5567     15.5567           0
           2     15.4076     15.4821   0.0527254
           3     15.0169     15.3271    0.131404
           4      15.658     15.4098    0.121843
           5     14.1402     15.1559    0.247142
           6     15.2237     15.1672     0.20621
           7     15.0952     15.1569    0.177008
           8     15.0194     15.1397    0.155714
           9     14.9052     15.1136    0.140575
          10       15.46     15.1483    0.130714
          11     15.1013      15.144    0.118901
          12     14.9454     15.1275    0.110139
          13     15.3511     15.1447    0.103002
          14     15.0161     15.1355    0.096053
          15     15.1125     15.1339   0.0896616
          16     15.3479     15.1473    0.085049
          17     16.2172     15.2103    0.100673
          18     14.6462     15.1789   0.0998382
          19     15.0695     15.1732   0.0947493
          20      15.866     15.2078   0.0961366
