#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.482831   -0.482831           0
           2   -0.482222   -0.482527 0.000215243
           3   -0.482758   -0.482604  0.00015673
           4   -0.482804   -0.482654 0.000125269
           5   -0.482758   -0.482675 0.000101941
           6   -0.481654   -0.482505 0.000177089
           7   -0.482888   -0.482559 0.000160034
           8   -0.482501   -0.482552 0.000140197
           9   -0.483362   -0.482642 0.000150735
          10    -0.48201   -0.482579 0.000148338
          11    -0.48327   -0.482642 0.000147576
          12   -0.482592   -0.482638 0.000135336
          13   -0.482614   -0.482636 0.000124938
          14   -0.482964   -0.482659 0.000118194
          15   -0.482893   -0.482675 0.000111337
          16   -0.482775   -0.482681 0.000104555
          17   -0.482775   -0.482687 9.85515e-05
          18    -0.48278   -0.482692  9.3213e-05
          19   -0.482758   -0.482695 8.83731e-05
          20   -0.482417   -0.482681  8.5044e-05
