#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      5.7212      5.7212           0
           2     5.46437     5.59279   0.0908028
           3     5.46499     5.55019   0.0698165
           4     5.64945       5.575   0.0566012
           5     5.48684     5.55737   0.0479485
           6      5.5948     5.56361    0.040361
           7     5.66234     5.57771   0.0369776
           8      5.5971     5.58014   0.0324347
           9     5.76199     5.60034   0.0345564
          10     5.62323     5.60263   0.0311765
          11     5.57354     5.59999   0.0284543
          12      5.4487     5.58738   0.0287405
          13     5.54412     5.58405   0.0267217
          14      5.6071      5.5857   0.0248637
          15     5.67775     5.59184   0.0239514
          16     5.69893     5.59853    0.023371
          17     5.57824     5.59734   0.0220267
          18     5.57319     5.59599   0.0208438
          19     5.47254      5.5895   0.0207348
          20     5.67519     5.59378   0.0201358
