#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.872712    0.872712           0
           2    0.887403    0.880057  0.00519412
           3    0.907728    0.889281  0.00828888
           4    0.916266    0.896027  0.00853127
           5    0.911835    0.899189  0.00738766
           6     0.88034    0.896047  0.00679151
           7    0.893876    0.895737  0.00582838
           8    0.899431    0.896199  0.00511809
           9    0.884966    0.894951  0.00469913
          10    0.884511    0.893907  0.00434364
          11    0.887023    0.893281  0.00399359
          12     0.92077    0.895572  0.00426751
          13    0.883399    0.894635  0.00404067
          14    0.889773    0.894288  0.00376695
          15    0.903045    0.894872  0.00356076
          16    0.857534    0.892538  0.00403103
          17    0.899865    0.892969  0.00381688
          18      0.9134    0.894104  0.00376982
          19    0.939054     0.89647   0.0042494
          20    0.806682    0.891981  0.00595348
