#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.271288    0.271288           0
           2     0.27183    0.271559 0.000191509
           3     0.26956    0.270893 0.000558943
           4    0.268154    0.270208 0.000726233
           5    0.270817     0.27033  0.00059111
           6      0.2709    0.270425 0.000500169
           7    0.268126    0.270096  0.00052558
           8    0.269351    0.270003 0.000468065
           9     0.27133    0.270151  0.00043867
          10    0.270107    0.270146 0.000394825
          11    0.273326    0.270435 0.000452553
          12    0.269574    0.270364 0.000420496
          13    0.269535      0.2703 0.000392952
          14    0.271906    0.270415 0.000381267
          15    0.269942    0.270383 0.000357149
          16    0.268349    0.270256 0.000356734
          17    0.269661    0.270221 0.000337465
          18    0.268557    0.270129 0.000331136
          19    0.271048    0.270177 0.000317225
          20    0.271311    0.270234 0.000306391
