#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         160       -0.92      -0.898  0.00489643
         161       -0.92   -0.898137  0.00486792
         162       -0.92   -0.898272  0.00483974
         163       -0.92   -0.898405  0.00481189
         164       -0.92   -0.898537  0.00478435
         165       -0.92   -0.898667  0.00475712
         166       -0.92   -0.898795   0.0047302
         167       -0.92   -0.898922  0.00470358
         168       -0.92   -0.899048  0.00467725
         169       -0.92   -0.899172  0.00465122
         170       -0.84   -0.898824  0.00463686
         171       -0.84    -0.89848  0.00462249
         172       -0.84    -0.89814   0.0046081
         173       -0.84   -0.897803   0.0045937
         174       -0.84   -0.897471   0.0045793
         175       -0.84   -0.897143  0.00456489
         176       -0.84   -0.896818  0.00455049
         177       -0.84   -0.896497  0.00453609
         178       -0.84    -0.89618  0.00452169
         179       -0.84   -0.895866  0.00450731
         180       -0.84   -0.895556  0.00449295
         181       -0.84   -0.895249  0.00447859
         182       -0.84   -0.894945  0.00446426
         183       -0.84   -0.894645  0.00444995
         184       -0.84   -0.894348  0.00443567
         185       -0.84   -0.894054  0.00442141
         186       -0.84   -0.893763  0.00440718
         187       -0.84   -0.893476  0.00439298
         188       -0.84   -0.893191  0.00437881
         189       -0.84    -0.89291  0.00436468
         190       -0.84   -0.892632  0.00435058
         191       -0.84   -0.892356  0.00433652
         192       -0.84   -0.892083   0.0043225
         193       -0.84   -0.891813  0.00430852
         194       -0.84   -0.891546  0.00429458
         195       -0.84   -0.891282  0.00428068
         196       -0.84    -0.89102  0.00426683
         197       -0.84   -0.890761  0.00425302
         198       -0.92   -0.890909  0.00423411
         199       -0.92   -0.891055  0.00421535
         200       -0.92     -0.8912  0.00419676
         201       -0.92   -0.891343  0.00417833
         202       -0.92   -0.891485  0.00416005
         203       -0.92   -0.891626  0.00414193
         204       -0.92   -0.891765  0.00412396
         205       -0.92   -0.891902  0.00410614
         206       -0.92   -0.892039  0.00408847
         207       -0.92   -0.892174  0.00407095
         208       -0.92   -0.892308  0.00405358
         209       -0.92    -0.89244  0.00403635
         210       -0.92   -0.892571  0.00401926
         211       -0.92   -0.892701  0.00400231
         212       -0.92    -0.89283  0.00398551
         213       -0.92   -0.892958  0.00396883
         214       -0.84    -0.89271    0.003958
         215       -0.84   -0.892465  0.00394717
         216       -0.84   -0.892222  0.00393637
         217       -0.84   -0.891982  0.00392557
         218       -0.84   -0.891743   0.0039148
         219       -0.84   -0.891507  0.00390405
         220       -0.84   -0.891273  0.00389332
         221       -0.84   -0.891041  0.00388261
         222       -0.84   -0.890811  0.00387192
         223       -0.84   -0.890583  0.00386126
         224       -0.84   -0.890357  0.00385062
         225       -0.84   -0.890133     0.00384
         226       -0.84   -0.889912  0.00382941
         227       -0.84   -0.889692  0.00381885
         228       -0.84   -0.889474  0.00380831
         229       -0.84   -0.889258  0.00379781
         230       -0.84   -0.889043  0.00378733
         231       -0.84   -0.888831  0.00377688
         232       -0.84   -0.888621  0.00376646
         233       -0.84   -0.888412  0.00375607
         234       -0.84   -0.888205  0.00374571
         235       -0.84      -0.888  0.00373538
         236       -0.84   -0.887797  0.00372509
         237       -0.84   -0.887595  0.00371483
         238       -0.84   -0.887395   0.0037046
         239       -0.84   -0.887197   0.0036944
         240       -0.84      -0.887  0.00368424
         241       -0.84   -0.886805  0.00367411
         242       -0.84   -0.886612  0.00366401
         243       -0.84    -0.88642  0.00365395
         244       -0.92   -0.886557  0.00364157
         245       -0.92   -0.886694  0.00362926
         246       -0.92   -0.886829  0.00361703
         247       -0.92   -0.886964  0.00360488
         248       -0.92   -0.887097  0.00359281
         249       -0.92   -0.887229  0.00358081
         250       -0.92    -0.88736  0.00356888
         251       -0.92    -0.88749  0.00355703
         252       -0.92   -0.887619  0.00354526
         253       -0.92   -0.887747  0.00353355
         254       -0.92   -0.887874  0.00352192
         255       -0.92      -0.888  0.00351036
         256       -0.92   -0.888125  0.00349888
         257       -0.92   -0.888249  0.00348746
         258       -0.92   -0.888372  0.00347611
         259       -0.92   -0.888494  0.00346483
         260       -0.92   -0.888615  0.00345363
         261       -0.92   -0.888736  0.00344249
         262       -0.92   -0.888855  0.00343142
         263       -0.92   -0.888973  0.00342041
         264       -0.92   -0.889091  0.00340947
         265       -0.92   -0.889208   0.0033986
         266       -0.92   -0.889323   0.0033878
         267       -0.92   -0.889438  0.00337706
         268       -0.92   -0.889552  0.00336638
         269       -0.92   -0.889665  0.00335577
         270       -0.92   -0.889778  0.00334522
         271       -0.92   -0.889889  0.00333473
         272       -0.92       -0.89  0.00332431
         273       -0.92    -0.89011  0.00331395
         274       -0.92   -0.890219  0.00330365
         275       -0.92   -0.890327  0.00329341
         276       -0.92   -0.890435  0.00328323
         277       -0.92   -0.890542  0.00327311
         278       -0.92   -0.890647  0.00326305
         279       -0.92   -0.890753  0.00325305
         280       -0.92   -0.890857  0.00324311
         281       -0.92   -0.890961  0.00323323
         282       -0.92   -0.891064   0.0032234
         283       -0.92   -0.891166  0.00321364
         284       -0.92   -0.891268  0.00320392
         285       -0.92   -0.891368  0.00319427
         286       -0.92   -0.891469  0.00318467
         287       -0.92   -0.891568  0.00317512
         288       -0.92   -0.891667  0.00316563
         289       -0.92   -0.891765  0.00315619
         290       -0.92   -0.891862  0.00314681
         291       -0.92   -0.891959  0.00313748
         292       -0.92   -0.892055  0.00312821
         293       -0.92    -0.89215  0.00311899
         294       -0.92   -0.892245  0.00310982
         295       -0.92   -0.892339   0.0031007
         296       -0.92   -0.892432  0.00309163
         297       -0.92   -0.892525  0.00308261
         298       -0.92   -0.892617  0.00307365
         299       -0.92   -0.892709  0.00306473
         300       -0.92     -0.8928  0.00305587
         301       -0.92    -0.89289  0.00304705
         302       -0.92    -0.89298  0.00303828
         303       -0.92   -0.893069  0.00302956
         304       -0.92   -0.893158  0.00302089
         305       -0.92   -0.893246  0.00301227
         306       -0.92   -0.893333  0.00300369
         307       -0.92    -0.89342  0.00299516
         308       -0.92   -0.893506  0.00298668
         309       -0.92   -0.893592  0.00297825
         310       -0.92   -0.893677  0.00296986
         311       -0.92   -0.893762  0.00296151
         312       -0.92   -0.893846  0.00295322
         313       -0.92    -0.89393  0.00294496
         314       -0.92   -0.894013  0.00293675
         315       -0.92   -0.894095  0.00292859
         316       -0.92   -0.894177  0.00292047
         317       -0.92   -0.894259  0.00291239
         318       -0.92    -0.89434  0.00290436
         319       -0.92    -0.89442  0.00289637
         320       -0.92     -0.8945  0.00288842
         321       -0.92   -0.894579  0.00288051
         322       -0.92   -0.894658  0.00287265
         323       -0.92   -0.894737  0.00286483
         324       -0.92   -0.894815  0.00285705
         325       -0.92   -0.894892  0.00284931
         326       -0.92   -0.894969  0.00284161
         327       -0.92   -0.895046  0.00283395
         328       -0.92   -0.895122  0.00282633
         329       -0.92   -0.895198  0.00281875
         330       -0.92   -0.895273  0.00281121
         331       -0.92   -0.895347  0.00280371
         332       -0.92   -0.895422  0.00279625
         333       -0.92   -0.895495  0.00278882
         334       -0.92   -0.895569  0.00278144
         335       -0.92   -0.895642  0.00277409
         336       -0.92   -0.895714  0.00276678
         337       -0.92   -0.895786  0.00275951
         338       -0.92   -0.895858  0.00275228
         339       -0.92   -0.895929  0.00274508
         340       -0.92      -0.896  0.00273792
         341       -0.92    -0.89607  0.00273079
         342       -0.92    -0.89614   0.0027237
         343       -0.92    -0.89621  0.00271665
         344       -0.92   -0.896279  0.00270963
         345       -0.92   -0.896348  0.00270265
         346       -0.92   -0.896416  0.00269571
         347       -0.92   -0.896484  0.00268879
         348       -0.92   -0.896552  0.00268192
         349       -0.92   -0.896619  0.00267507
         350       -0.92   -0.896686  0.00266826
         351       -0.92   -0.896752  0.00266149
         352       -0.92   -0.896818  0.00265475
         353       -0.92   -0.896884  0.00264804
         354       -0.92   -0.896949  0.00264136
         355       -0.92   -0.897014  0.00263472
         356       -0.92   -0.897079  0.00262811
         357       -0.92   -0.897143  0.00262153
         358       -0.92   -0.897207  0.00261499
         359       -0.92    -0.89727  0.00260848
         360       -0.92   -0.897333  0.00260199
         361       -0.92   -0.897396  0.00259554
         362       -0.92   -0.897459  0.00258912
         363       -0.92   -0.897521  0.00258274
         364       -0.92   -0.897582  0.00257638
         365       -0.92   -0.897644  0.00257005
         366       -0.92   -0.897705  0.00256376
         367       -0.92   -0.897766  0.00255749
         368       -0.92   -0.897826  0.00255125
         369       -0.92   -0.897886  0.00254505
         370       -0.92   -0.897946  0.00253887
         371       -0.92   -0.898005  0.00253272
         372       -0.92   -0.898065   0.0025266
         373       -0.92   -0.898123  0.00252052
         374       -0.92   -0.898182  0.00251445
         375       -0.92    -0.89824  0.00250842
         376       -0.92   -0.898298  0.00250242
         377       -0.92   -0.898355  0.00249644
         378       -0.92   -0.898413   0.0024905
         379       -0.92    -0.89847  0.00248458
         380       -0.92   -0.898526  0.00247868
         381       -0.92   -0.898583  0.00247282
         382       -0.92   -0.898639  0.00246698
         383       -0.92   -0.898695  0.00246117
         384       -0.92    -0.89875  0.00245539
         385       -0.92   -0.898805  0.00244963
         386       -0.92    -0.89886   0.0024439
         387       -0.92   -0.898915  0.00243819
         388       -0.92   -0.898969  0.00243251
         389       -0.92   -0.899023  0.00242686
         390       -0.92   -0.899077  0.00242123
         391       -0.92    -0.89913  0.00241563
         392       -0.92   -0.899184  0.00241006
         393       -0.92   -0.899237  0.00240451
         394       -0.92   -0.899289  0.00239898
         395       -0.92   -0.899342  0.00239348
         396       -0.92   -0.899394  0.00238801
         397       -0.92   -0.899446  0.00238255
         398       -0.92   -0.899497  0.00237713
         399       -0.92   -0.899549  0.00237173
         400       -0.92     -0.8996  0.00236635
         401       -0.92   -0.899651  0.00236099
         402       -0.92   -0.899701  0.00235566
         403       -0.92   -0.899752  0.00235036
         404       -0.92   -0.899802  0.00234507
         405       -0.92   -0.899852  0.00233981
         406       -0.92   -0.899901  0.00233458
