#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.2966     10.2966           0
           2     10.3656     10.3311   0.0243873
           3     10.3377     10.3333   0.0163558
           4     10.5141     10.3785   0.0410082
           5      9.9392     10.2906   0.0851573
           6     10.2283     10.2803   0.0715944
           7     10.1055     10.2553    0.065573
           8     10.3055     10.2616   0.0576754
           9     10.1593     10.2502   0.0523744
          10     10.3833     10.2635   0.0487984
          11     10.1669     10.2547   0.0451458
          12     10.2965     10.2582   0.0415179
          13       10.61     10.2853   0.0463108
          14      9.9979     10.2647    0.047334
          15     10.2604     10.2645   0.0441793
          16     10.2396     10.2629   0.0414453
          17     10.6708     10.2869   0.0454257
          18     10.5048      10.299   0.0444853
          19      10.193     10.2934   0.0424926
          20     10.2344     10.2905   0.0404704
