#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.037502    0.037502           0
           2   0.0352448   0.0363734 0.000798041
           3    0.032826   0.0351909  0.00110236
           4   0.0350024   0.0351438 0.000827779
           5   0.0332436   0.0347638 0.000744368
           6   0.0356016   0.0349034 0.000633269
           7   0.0328532   0.0346105 0.000606763
           8   0.0353532   0.0347033 0.000537973
           9   0.0359004   0.0348364 0.000494367
          10   0.0312716   0.0344799 0.000558865
          11   0.0325392   0.0343035 0.000535183
          12   0.0327844   0.0341769 0.000505333
          13    0.034688   0.0342162 0.000467989
          14   0.0309016   0.0339794 0.000490808
          15   0.0372844   0.0341998 0.000505128
          16    0.032882   0.0341174 0.000480225
          17    0.034264    0.034126 0.000452053
          18    0.033934   0.0341154 0.000427065
          19   0.0358188    0.034205 0.000413892
          20   0.0326452    0.034127 0.000400478
