#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.3339     24.3339           0
           2     24.3006     24.3172   0.0117828
           3     23.8758     24.1701    0.120404
           4     24.2932     24.2009   0.0941543
           5     25.5754     24.4758    0.257165
           6     24.4446     24.4706    0.214357
           7     24.6394     24.4947    0.185086
           8     23.7431     24.4007    0.184255
           9      23.617     24.3137    0.183208
          10       24.95     24.3773    0.175589
          11     24.2034     24.3615    0.160336
          12     26.0637     24.5033    0.200114
          13     24.9977     24.5414    0.188299
          14     25.0589     24.5783    0.178442
          15     23.2964     24.4929    0.185888
          16     24.7685     24.5101    0.175067
          17     25.1696     24.5489    0.169012
          18     24.7219     24.5585    0.159896
          19     24.5615     24.5587     0.15148
          20     24.8553     24.5735     0.14463
