#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35507     1.35507           0
           2     1.34762     1.35135  0.00263185
           3     1.36943     1.35737  0.00522574
           4     1.36622     1.35959  0.00436182
           5     1.34929     1.35753  0.00394583
           6     1.35475     1.35706   0.0033152
           7     1.37156     1.35913  0.00342783
           8     1.35754     1.35893  0.00300517
           9     1.36463     1.35957  0.00273703
          10     1.35681     1.35929  0.00247712
          11     1.36621     1.35992  0.00233042
          12      1.3392     1.35819  0.00270111
          13     1.34325     1.35704  0.00272702
          14      1.3511     1.35662  0.00256512
          15     1.36685      1.3573  0.00248312
          16     1.36529      1.3578   0.0023776
          17     1.36299     1.35811  0.00225726
          18     1.35957     1.35819  0.00213332
          19      1.3563     1.35809  0.00202336
          20     1.35972     1.35817  0.00192384
