#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.479837    0.479837           0
           2    0.442912    0.461374    0.013055
           3    0.414859    0.445869    0.015363
           4    0.445504    0.445778   0.0115225
           5    0.446863    0.445995  0.00922005
           6     0.42387    0.442307  0.00838839
           7    0.429581    0.440489  0.00738443
           8    0.488032    0.446432  0.00852358
           9    0.442316    0.445975  0.00758877
          10    0.426016    0.443979  0.00708749
          11    0.481282     0.44737  0.00720898
          12    0.451518    0.447716  0.00661651
          13    0.461218    0.448754  0.00618853
          14    0.438298    0.448008  0.00579139
          15    0.454342     0.44843  0.00542067
          16    0.452067    0.448657  0.00508664
          17    0.434158    0.447804  0.00485841
          18    0.435296    0.447109  0.00463793
          19    0.457328    0.447647   0.0044249
          20    0.469991    0.448764   0.0043424
