#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.145018    0.145018           0
           2    0.137289    0.141154  0.00273268
           3    0.147175    0.143161  0.00245036
           4    0.157362    0.146711  0.00358195
           5    0.139274    0.145224  0.00315935
           6    0.152366    0.146414  0.00284827
           7    0.149825    0.146901  0.00248271
           8    0.144129    0.146555  0.00219643
           9    0.135683    0.145347  0.00226027
          10    0.145843    0.145396  0.00203478
          11    0.148381    0.145668   0.0018678
          12    0.161804    0.147012  0.00214221
          13    0.153283    0.147495    0.002031
          14    0.147558    0.147499  0.00188593
          15    0.140124    0.147008  0.00182317
          16    0.145498    0.146913  0.00171166
          17    0.163759    0.147904  0.00187602
          18    0.144355    0.147707  0.00178213
          19    0.139512    0.147276  0.00173975
          20    0.149491    0.147386  0.00165628
