#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.046486    0.046486           0
           2   0.0407988   0.0436424  0.00201073
           3    0.039146   0.0421436  0.00181508
           4   0.0432952   0.0424315  0.00138395
           5   0.0450512   0.0429554  0.00120226
           6   0.0454708   0.0433747  0.00107248
           7   0.0442744   0.0435032 0.000926942
           8   0.0452956   0.0437272 0.000837714
           9    0.041158   0.0434418 0.000791783
          10   0.0441792   0.0435155  0.00071603
          11   0.0437492   0.0435368 0.000651252
          12   0.0499364   0.0440701 0.000785555
          13     0.04475   0.0441224 0.000726867
          14   0.0426508   0.0440173 0.000682506
          15   0.0476868   0.0442619 0.000679436
          16   0.0470956    0.044439  0.00065965
          17   0.0431176   0.0443613  0.00062541
          18   0.0443956   0.0443632 0.000590668
          19   0.0443196   0.0443609 0.000559585
          20   0.0432772   0.0443067 0.000534222
