#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.89332     1.89332           0
           2     1.90292     1.89812  0.00339461
           3     1.86041     1.88555   0.0105089
           4     1.88289     1.88488  0.00790256
           5     1.91711     1.89133  0.00855525
           6     1.91903     1.89595    0.008282
           7     1.89501     1.89581  0.00709994
           8      1.9246     1.89941  0.00706575
           9     1.91959     1.90165  0.00662687
          10     1.93994     1.90548  0.00698303
          11     1.92495     1.90725  0.00656863
          12     1.87502     1.90456  0.00654742
          13     1.92772     1.90635  0.00628142
          14     1.91069     1.90666  0.00584041
          15     1.90207     1.90635  0.00545906
          16      1.8993     1.90591  0.00513561
          17     1.94051     1.90795  0.00522136
          18      1.8733     1.90602  0.00527404
          19      1.8742     1.90435  0.00525566
          20     1.91043     1.90465  0.00500168
