#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.931291   -0.931291           0
           2   -0.935668    -0.93348  0.00154743
           3   -0.936121    -0.93436  0.00125737
           4   -0.936025   -0.934776  0.00100956
           5   -0.935666   -0.934954 0.000823172
           6   -0.933891   -0.934777  0.00070478
           7   -0.935874   -0.934934 0.000621291
           8   -0.935484   -0.935002 0.000547424
           9    -0.93397   -0.934888 0.000498484
          10   -0.937004   -0.935099 0.000491509
          11   -0.937387   -0.935307 0.000488855
          12   -0.937938   -0.935527 0.000494849
          13   -0.935465   -0.935522 0.000456807
          14   -0.935282   -0.935505 0.000424498
          15   -0.932189   -0.935284 0.000450093
          16   -0.936694   -0.935372 0.000430511
          17   -0.931873   -0.935166 0.000451718
          18   -0.936089   -0.935217 0.000429522
          19   -0.936133   -0.935265 0.000409609
          20    -0.93829   -0.935417 0.000416116
