#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.89152    -0.89152           0
           2   -0.893487   -0.892504  0.00069551
           3   -0.891018   -0.892008 0.000615275
           4   -0.892821   -0.892211 0.000493851
           5    -0.89245   -0.892259 0.000397388
           6   -0.893234   -0.892422 0.000362826
           7   -0.892278   -0.892401  0.00031157
           8   -0.892058   -0.892358 0.000275553
           9   -0.893012   -0.892431 0.000254329
          10   -0.891753   -0.892363 0.000237765
          11   -0.892097   -0.892339 0.000217379
          12   -0.891752    -0.89229 0.000204692
          13   -0.892781   -0.892328 0.000192397
          14   -0.891669   -0.892281 0.000184322
          15   -0.893621    -0.89237 0.000192472
          16   -0.891737    -0.89233 0.000184466
          17   -0.894676   -0.892468 0.000219224
          18   -0.890923   -0.892383 0.000223221
          19    -0.89141   -0.892331 0.000217258
          20    -0.89338   -0.892384 0.000212627
