#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.34106     0.34106           0
           2    0.329546    0.335303  0.00407062
           3    0.320792    0.330466  0.00479198
           4    0.324433    0.328958  0.00382399
           5    0.337337    0.330634  0.00340672
           6    0.340328    0.332249  0.00319919
           7    0.332634    0.332304  0.00274264
           8    0.334019    0.332519  0.00240817
           9    0.316331     0.33072  0.00273087
          10    0.317208    0.329369    0.002772
          11    0.311143    0.327712  0.00297422
          12    0.344781    0.329134   0.0030476
          13    0.306269    0.327375  0.00328172
          14    0.308241    0.326009  0.00331975
          15    0.329174     0.32622  0.00310513
          16    0.329862    0.326447   0.0029194
          17    0.317007    0.325892  0.00279998
          18    0.330602    0.326154  0.00265663
          19    0.329896    0.326351  0.00252409
          20    0.326133     0.32634  0.00239791
