#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.95849     2.95849           0
           2     3.00762     2.98306   0.0173716
           3     2.95233     2.97281   0.0142844
           4     2.93044     2.96222   0.0141049
           5     2.95529     2.96083   0.0113518
           6     2.97159     2.96263  0.00960037
           7     2.96507     2.96298  0.00823522
           8     2.99963     2.96756  0.00838429
           9     3.00528     2.97175  0.00843568
          10     3.00153     2.97473  0.00810078
          11     2.97443      2.9747  0.00736439
          12      2.9619     2.97364  0.00682752
          13     3.02245     2.97739  0.00726185
          14     2.95717     2.97595  0.00688526
          15     2.95698     2.97468   0.0065413
          16     3.02477     2.97781  0.00684055
          17     3.00191     2.97923  0.00658336
          18     2.95772     2.97803  0.00632517
          19     2.93284     2.97566  0.00642399
          20      2.9907     2.97641  0.00614669
