#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     43.0255     43.0255           0
           2     44.7688     43.8972    0.616334
           3     43.2916     43.6953    0.442711
           4      44.682      43.942     0.39482
           5     44.0866     43.9709    0.316914
           6     43.0594      43.819    0.298293
           7     43.1419     43.7223    0.270911
           8     45.2327     43.9111    0.295604
           9     43.2344     43.8359    0.272152
          10     43.5718     43.8095    0.246215
          11      46.497     44.0538    0.323058
          12     45.3442     44.1613    0.313523
          13     46.1014     44.3106    0.322975
          14     43.8391     44.2769    0.301656
          15     46.2485     44.4083    0.308859
          16     45.7293     44.4909    0.300387
          17     44.6582     44.5007    0.282878
          18     44.7715     44.5158    0.267562
          19     44.0725     44.4924    0.254496
          20     44.5172     44.4937    0.241774
