#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.451071    0.451071           0
           2    0.446396    0.448734  0.00165293
           3    0.435773    0.444413  0.00369559
           4    0.446658    0.444975  0.00281399
           5    0.437158    0.443411  0.00265006
           6    0.440014    0.442845  0.00226808
           7    0.430556    0.441089  0.00253399
           8    0.434231    0.440232   0.0023578
           9    0.445998    0.440873  0.00218114
          10     0.44567    0.441353   0.0020151
          11    0.437299    0.440984  0.00186529
          12    0.436537    0.440614  0.00174628
          13    0.438101     0.44042  0.00162262
          14    0.435258    0.440052  0.00154805
          15    0.439002    0.439982  0.00144642
          16    0.434242    0.439623   0.0013998
          17    0.442797     0.43981  0.00132986
          18    0.438171    0.439718  0.00125909
          19    0.438098    0.439633  0.00119571
          20    0.434781    0.439391  0.00116027
