#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.02848     0.02848           0
           2   0.0275688   0.0280244 0.000322158
           3   0.0305868   0.0288785 0.000729719
           4   0.0287988   0.0288586 0.000547561
           5   0.0319804    0.029483 0.000709752
           6   0.0324228   0.0299729 0.000741543
           7   0.0327132   0.0303644 0.000731677
           8   0.0312232   0.0304717 0.000648045
           9   0.0287772   0.0302835 0.000602772
          10   0.0285492     0.03011 0.000566895
          11    0.032688   0.0303444 0.000561717
          12   0.0312144   0.0304169 0.000519565
          13   0.0312552   0.0304814 0.000483584
          14   0.0330236    0.030663 0.000481931
          15   0.0303956   0.0306451 0.000450131
          16   0.0290428    0.030545 0.000432995
          17   0.0357068   0.0308486  0.00050284
          18   0.0300516   0.0308044  0.00047685
          19   0.0266832   0.0305875 0.000498649
          20    0.030728   0.0305945 0.000473766
