#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.53964     7.53964           0
           2     7.41358     7.47661   0.0445689
           3     7.47799     7.47707    0.029715
           4     7.47658     7.47695   0.0222865
           5     7.28284     7.43813   0.0390334
           6     7.55709     7.45795   0.0372245
           7     7.47916     7.46098   0.0320298
           8     7.25863     7.43569   0.0366778
           9     7.37077     7.42848   0.0333043
          10     7.31288     7.41692   0.0319171
          11       7.458     7.42065   0.0292333
          12     7.36148     7.41572   0.0272099
          13      7.2981     7.40667   0.0265785
          14     7.46181     7.41061   0.0249701
          15     7.50585     7.41696   0.0240992
          16     7.38952     7.41525   0.0226539
          17     7.44656     7.41709    0.021396
          18     7.40902     7.41664   0.0202121
          19     7.30228     7.41062   0.0200244
          20     7.39522     7.40985    0.019038
