#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.105514    0.105514           0
           2    0.108675    0.107094  0.00111779
           3    0.109119    0.107769 0.000926762
           4     0.11979    0.110774   0.0026938
           5    0.107062    0.110032  0.00225506
           6    0.118524    0.111447  0.00228053
           7    0.116404    0.112155  0.00206177
           8    0.113339    0.112303  0.00180935
           9    0.104755    0.111465  0.00179218
          10    0.112075    0.111526    0.001614
          11    0.116801    0.112005  0.00153687
          12    0.124105    0.113014  0.00170784
          13     0.12299    0.113781  0.00174037
          14    0.108494    0.113403  0.00165651
          15    0.111584    0.113282  0.00155051
          16    0.101368    0.112537   0.0016226
          17     0.12902    0.113507  0.00179359
          18    0.107569    0.113177  0.00172401
          19    0.109049     0.11296  0.00164691
          20    0.116749    0.113149  0.00157542
