#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.52854    -0.52854           0
           2    -0.52745   -0.527995 0.000385232
           3   -0.527574   -0.527855   0.0002812
           4   -0.529687   -0.528313 0.000449275
           5   -0.528364   -0.528323 0.000359535
           6   -0.527234   -0.528142 0.000342359
           7   -0.528837   -0.528241 0.000307513
           8   -0.528865   -0.528319 0.000278784
           9   -0.528602    -0.52835  0.00024958
          10   -0.528644    -0.52838 0.000226341
          11   -0.529702     -0.5285  0.00023551
          12   -0.528172   -0.528473 0.000217464
          13   -0.528674   -0.528488 0.000201289
          14   -0.528541   -0.528492 0.000186947
          15    -0.52833   -0.528481 0.000174797
          16   -0.528602   -0.528489 0.000164034
          17   -0.528815   -0.528508 0.000155505
          18    -0.52965   -0.528571 0.000159295
          19   -0.528451   -0.528565 0.000151036
          20   -0.528766   -0.528575 0.000143817
