#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0273688   0.0273688           0
           2   0.0294068   0.0283878 0.000720542
           3   0.0262064   0.0276607 0.000763694
           4    0.028986    0.027992 0.000640627
           5   0.0260904   0.0276117  0.00061512
           6    0.027216   0.0275457 0.000516123
           7   0.0272388   0.0275019  0.00044425
           8    0.028034   0.0275684 0.000393666
           9   0.0275028   0.0275611 0.000349993
          10   0.0269252   0.0274975 0.000320719
          11      0.0251   0.0272796 0.000358043
          12   0.0276888   0.0273137 0.000329826
          13   0.0274968   0.0273278 0.000304756
          14   0.0264704   0.0272665 0.000289075
          15   0.0300904   0.0274548 0.000325381
          16   0.0291264   0.0275592  0.00032138
          17   0.0254452   0.0274349 0.000325647
          18   0.0282916   0.0274825 0.000311014
          19   0.0281332   0.0275167 0.000296525
          20   0.0259776   0.0274398 0.000291514
