#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.031036    0.031036           0
           2   0.0280464   0.0295412  0.00105698
           3   0.0276992   0.0289272 0.000864795
           4     0.03061   0.0293479 0.000743921
           5   0.0354532    0.030569  0.00124378
           6    0.030896   0.0306235  0.00103767
           7   0.0308764   0.0306596 0.000890063
           8   0.0317732   0.0307988 0.000789615
           9    0.029918   0.0307009 0.000707919
          10   0.0350124   0.0311321 0.000757119
          11   0.0265512   0.0307156 0.000794609
          12   0.0310644   0.0307447 0.000728923
          13   0.0320632   0.0308461 0.000679871
          14   0.0296712   0.0307622 0.000636468
          15   0.0326404   0.0308874 0.000606228
          16   0.0304016    0.030857 0.000569099
          17   0.0306944   0.0308475 0.000535703
          18     0.03015   0.0308087 0.000507341
          19    0.029076   0.0307175 0.000488766
          20   0.0272452   0.0305439 0.000494203
