#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.646427   -0.646427           0
           2    -0.64648   -0.646454 1.86676e-05
           3   -0.646505   -0.646471 1.86832e-05
           4   -0.646138   -0.646388 7.32898e-05
           5   -0.647247    -0.64656 0.000164569
           6   -0.646719   -0.646586 0.000139276
           7   -0.646986   -0.646643 0.000130591
           8   -0.646093   -0.646574  0.00013115
           9   -0.646027   -0.646514 0.000129914
          10   -0.647138   -0.646576 0.000131085
          11   -0.646379   -0.646558 0.000120385
          12   -0.645828   -0.646497 0.000124789
          13   -0.646028   -0.646461 0.000120301
          14   -0.646794   -0.646485 0.000114025
          15   -0.645939   -0.646449  0.00011208
          16   -0.644724   -0.646341 0.000148099
          17   -0.647293   -0.646397 0.000149599
          18   -0.647565   -0.646462 0.000154721
          19   -0.646065   -0.646441 0.000147982
          20   -0.646156   -0.646427 0.000141266
