#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.58323    -0.58323           0
           2    -0.58284   -0.583035 0.000137744
           3    -0.58233     -0.5828 0.000212572
           4   -0.582209   -0.582652 0.000204453
           5   -0.583242    -0.58277 0.000194678
           6   -0.582525   -0.582729 0.000166474
           7   -0.582365   -0.582677 0.000150617
           8   -0.583494   -0.582779 0.000162726
           9   -0.582837   -0.582786 0.000144771
          10    -0.58252   -0.582759 0.000132709
          11   -0.583763    -0.58285 0.000148761
          12    -0.58193   -0.582774 0.000154865
          13     -0.5825   -0.582753 0.000144376
          14   -0.583771   -0.582825 0.000151287
          15   -0.582217   -0.582785 0.000146542
          16   -0.582041   -0.582738 0.000144573
          17   -0.582964   -0.582752 0.000136677
          18   -0.583188   -0.582776 0.000131216
          19   -0.582716   -0.582773 0.000124348
          20   -0.582552   -0.582762 0.000118619
