#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0589444   0.0589444           0
           2   0.0556972   0.0573208  0.00114806
           3   0.0549412   0.0565276  0.00100262
           4   0.0593588   0.0572354 0.000970146
           5   0.0644572   0.0586798  0.00150708
           6   0.0636432    0.059507  0.00146546
           7     0.06305   0.0600131  0.00134067
           8   0.0606624   0.0600943  0.00117554
           9   0.0571596   0.0597682  0.00108921
          10   0.0582892   0.0596203 0.000990277
          11   0.0619192   0.0598293 0.000922041
          12    0.065784   0.0603255 0.000969582
          13    0.060334   0.0603262 0.000894999
          14   0.0639996   0.0605886 0.000868681
          15   0.0641588   0.0608266 0.000842746
          16     0.05733    0.060608 0.000817919
          17   0.0685156   0.0610732 0.000892322
          18   0.0634828   0.0612071 0.000852731
          19   0.0586152   0.0610707 0.000818689
          20   0.0597516   0.0610047 0.000780406
