#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.50942     1.50942           0
           2     1.50471     1.50706   0.0016646
           3     1.52245     1.51219  0.00433223
           4     1.50001     1.50915  0.00418512
           5     1.49286     1.50589   0.0044379
           6     1.49508     1.50409  0.00404764
           7     1.48982     1.50205   0.0039494
           8     1.50209     1.50205  0.00345573
           9     1.52677      1.5048  0.00401716
          10     1.50112     1.50443  0.00363228
          11     1.51556     1.50544  0.00343998
          12     1.50717     1.50559  0.00315632
          13     1.51119     1.50602  0.00294276
          14     1.49867     1.50549  0.00277894
          15     1.51208     1.50593  0.00262816
          16     1.51996     1.50681  0.00260612
          17     1.51838     1.50749  0.00254019
          18     1.50631     1.50742  0.00239991
          19     1.53468     1.50886  0.00266804
          20     1.51637     1.50923  0.00256095
