#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0356056   0.0356056           0
           2   0.0380188   0.0368122 0.000853195
           3   0.0375196    0.037048 0.000600498
           4     0.03737   0.0371285 0.000455737
           5   0.0393332   0.0375694 0.000537092
           6   0.0404396   0.0380478 0.000625312
           7   0.0399456   0.0383189 0.000591844
           8   0.0384244   0.0383321  0.00051801
           9   0.0366736   0.0381478 0.000492141
          10   0.0365932   0.0379924 0.000466836
          11   0.0387132   0.0380579 0.000428971
          12    0.039712   0.0381957 0.000414779
          13   0.0401828   0.0383486 0.000410071
          14   0.0424892   0.0386443 0.000475624
          15    0.038382   0.0386269 0.000444237
          16   0.0358204   0.0384514  0.00044977
          17   0.0461648   0.0389052 0.000610698
          18    0.040584   0.0389984 0.000583849
          19   0.0335108   0.0387096 0.000620459
          20    0.039464   0.0387473 0.000590582
