#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.3405      1.3405           0
           2     1.34895     1.34473  0.00298852
           3     1.35086     1.34677  0.00259857
           4     1.35741     1.34943  0.00301666
           5     1.36218     1.35198  0.00332022
           6     1.37962     1.35659  0.00503431
           7     1.36224     1.35739  0.00437951
           8     1.37979     1.36019  0.00464129
           9     1.36801     1.36106  0.00420604
          10     1.37729     1.36268  0.00408653
          11     1.36833      1.3632  0.00374707
          12      1.3409     1.36134  0.00386827
          13     1.38164      1.3629  0.00387317
          14     1.36357     1.36295  0.00359681
          15     1.36878     1.36334  0.00337794
          16     1.36689     1.36356  0.00317411
          17     1.36716     1.36377  0.00299447
          18     1.34934     1.36297  0.00293342
          19     1.35433     1.36251  0.00281401
          20     1.36755     1.36277  0.00268454
