#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.723186   -0.723186           0
           2   -0.719945   -0.721565   0.0011458
           3   -0.720942   -0.721357 0.000782492
           4   -0.721504   -0.721394 0.000587727
           5   -0.721485   -0.721412 0.000470462
           6   -0.721549   -0.721435 0.000392603
           7   -0.720913    -0.72136 0.000343529
           8   -0.720737   -0.721282 0.000309304
           9   -0.720358    -0.72118 0.000291506
          10   -0.721444   -0.721206 0.000263551
          11   -0.720903   -0.721179 0.000241026
          12   -0.720598    -0.72113  0.00022575
          13   -0.720113   -0.721052 0.000221534
          14   -0.720458   -0.721009 0.000209727
          15   -0.720214   -0.720956 0.000202332
          16   -0.721497    -0.72099 0.000192484
          17    -0.72127   -0.721007 0.000181862
          18   -0.720762   -0.720993 0.000172264
          19   -0.721702    -0.72103 0.000167193
          20   -0.720553   -0.721007  0.00016053
