#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461896   -0.461896           0
           2   -0.462591   -0.462244  0.00024579
           3    -0.46244   -0.462309 0.000172358
           4   -0.462614   -0.462385 0.000145191
           5   -0.462075   -0.462323 0.000128727
           6    -0.46145   -0.462178 0.000170727
           7   -0.462387   -0.462208 0.000148933
           8   -0.462216   -0.462209  0.00013032
           9   -0.462511   -0.462242 0.000120094
          10   -0.461683   -0.462186 0.000120402
          11   -0.462837   -0.462246 0.000123118
          12    -0.46129   -0.462166 0.000136216
          13   -0.461311     -0.4621 0.000140714
          14   -0.462659    -0.46214 0.000136211
          15   -0.462297   -0.462151  0.00012753
          16   -0.462983   -0.462203 0.000129743
          17   -0.462377   -0.462213 0.000122515
          18   -0.462081   -0.462206 0.000115928
          19   -0.462329   -0.462212 0.000110008
          20   -0.461714   -0.462187 0.000107284
