#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.50559     3.50559           0
           2     3.60823     3.55691   0.0362907
           3     3.54686     3.55356    0.024348
           4     3.51488     3.54389   0.0200899
           5     3.58058     3.55123   0.0173604
           6     3.63191     3.56467   0.0189737
           7     3.55621     3.56346   0.0163016
           8     3.59581     3.56751   0.0147568
           9     3.57765     3.56863   0.0131601
          10     3.57941     3.56971   0.0118881
          11     3.54352     3.56733   0.0110432
          12     3.62443     3.57209   0.0111009
          13      3.5863     3.57318   0.0103007
          14      3.5245      3.5697   0.0101348
          15     3.55983     3.56905   0.0094805
          16     3.57991     3.56973  0.00891225
          17     3.62494     3.57297  0.00896034
          18     3.57237     3.57294   0.0084626
          19     3.63799     3.57636  0.00868224
          20     3.53884     3.57449  0.00844839
