#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0641796   0.0641796           0
           2    0.069344   0.0667618  0.00182589
           3   0.0684552   0.0673263  0.00130159
           4   0.0724564   0.0686088  0.00147872
           5   0.0747708   0.0698412  0.00161694
           6   0.0733964   0.0704337  0.00145196
           7   0.0772992   0.0714145  0.00154058
           8   0.0729488   0.0716063  0.00135989
           9   0.0673356   0.0711318  0.00128893
          10   0.0730804   0.0713266  0.00117467
          11   0.0777728   0.0719127  0.00120523
          12   0.0833512   0.0728659  0.00143299
          13   0.0756992   0.0730838  0.00133923
          14   0.0758068   0.0732783  0.00125762
          15   0.0762516   0.0734765  0.00118929
          16   0.0677904   0.0731211  0.00116685
          17    0.081368   0.0736063  0.00119481
          18   0.0752728   0.0736988  0.00113201
          19   0.0708328    0.073548  0.00108243
          20   0.0740044   0.0735708  0.00102855
