#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.762559   -0.762559           0
           2    -0.76129   -0.761925 0.000448589
           3   -0.762492   -0.762114 0.000336552
           4   -0.762071   -0.762103 0.000252583
           5   -0.762154   -0.762113 0.000202274
           6   -0.761729   -0.762049 0.000178431
           7   -0.761582   -0.761983 0.000164978
           8   -0.761583   -0.761933 0.000151719
           9   -0.761612   -0.761897  0.00013898
          10   -0.761805   -0.761888 0.000125388
          11   -0.761262   -0.761831  0.00012625
          12   -0.761512   -0.761804 0.000118492
          13   -0.760903   -0.761735 0.000128055
          14   -0.761493   -0.761718 0.000120071
          15   -0.762528   -0.761772 0.000123623
          16   -0.760961   -0.761721 0.000125857
          17   -0.762369   -0.761759 0.000124089
          18   -0.762316    -0.76179  0.00012099
          19   -0.760834    -0.76174 0.000124655
          20   -0.761933   -0.761749 0.000118796
