#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.917783    0.917783           0
           2    0.854577     0.88618   0.0223468
           3    0.898128    0.890163   0.0152486
           4    0.829783    0.875068   0.0173691
           5    0.890822    0.878219   0.0141782
           6    0.908556    0.883275   0.0126848
           7    0.924474     0.88916   0.0121617
           8    0.878344    0.887808   0.0107164
           9    0.876302     0.88653  0.00960161
          10    0.782914    0.876168   0.0130882
          11    0.860104    0.874708   0.0119796
          12    0.915399    0.878099   0.0114511
          13    0.849166    0.875873   0.0107844
          14    0.892954    0.877093   0.0100829
          15    0.917679    0.879799  0.00976697
          16    0.905744    0.881421  0.00929017
          17     0.90795    0.882981  0.00887379
          18    0.909575    0.884459   0.0085029
          19    0.902408    0.885403  0.00810769
          20    0.912788    0.886772  0.00781707
