#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.554571   -0.554571           0
           2   -0.554023   -0.554297 0.000193747
           3   -0.554792   -0.554462 0.000186598
           4   -0.554567   -0.554488 0.000141785
           5   -0.554898    -0.55457 0.000135075
           6   -0.553455   -0.554385 0.000203615
           7    -0.55379     -0.5543 0.000191401
           8   -0.554895   -0.554374 0.000181376
           9   -0.554916   -0.554434 0.000170925
          10   -0.555169   -0.554508 0.000168878
          11   -0.555717   -0.554618 0.000185883
          12   -0.554164    -0.55458 0.000174195
          13   -0.554306   -0.554559 0.000162068
          14   -0.555263   -0.554609  0.00015811
          15    -0.55381   -0.554556 0.000156295
          16   -0.554981   -0.554582 0.000148767
          17   -0.554891   -0.554601 0.000141121
          18   -0.555094   -0.554628 0.000135922
          19   -0.554772   -0.554636 0.000128979
          20   -0.554793   -0.554643  0.00012277
