#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.36797     4.36797           0
           2     4.47779     4.42288   0.0388251
           3     4.46511     4.43696   0.0283201
           4     4.40837     4.42981   0.0221233
           5     4.44393     4.43264   0.0178781
           6     4.44087     4.43401   0.0149509
           7     4.41712     4.43159   0.0130084
           8     4.29434     4.41444   0.0196754
           9     4.37033     4.40954   0.0180893
          10     4.49736     4.41832   0.0182887
          11     4.39666     4.41635   0.0167317
          12     4.51567     4.42463   0.0172635
          13      4.4774     4.42869   0.0164059
          14     4.46107       4.431   0.0153963
          15     4.37455     4.42724   0.0148227
          16     4.38074     4.42433   0.0141782
          17     4.37503     4.42143   0.0136376
          18     4.46944      4.4241   0.0131382
          19     4.34818      4.4201   0.0130401
          20     4.35155     4.41667   0.0128307
