#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.198115    0.198115           0
           2    0.196056    0.197085 0.000727896
           3    0.206189     0.20012  0.00252481
           4    0.202803    0.200791  0.00198072
           5    0.193894    0.199411  0.00200823
           6    0.205402     0.20041  0.00190565
           7     0.19879    0.200179   0.0016474
           8    0.204554    0.200725  0.00152957
           9    0.189501    0.199478  0.00179756
          10    0.197145    0.199245  0.00163288
          11    0.214266    0.200611  0.00197455
          12    0.203618    0.200861  0.00182584
          13      0.2039    0.201095  0.00170029
          14    0.207443    0.201548  0.00163818
          15    0.189208    0.200726   0.0017232
          16    0.202359    0.200828  0.00161852
          17    0.191023    0.200251  0.00162282
          18    0.198016    0.200127  0.00153741
          19    0.189271    0.199555  0.00155905
          20    0.220737    0.200615  0.00180533
