#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461783   -0.461783           0
           2   -0.461847   -0.461815 2.26274e-05
           3    -0.46232   -0.461983 0.000138215
           4    -0.46219   -0.462035 0.000112929
           5   -0.462151   -0.462058 9.26954e-05
           6   -0.461722   -0.462002 9.26299e-05
           7   -0.462226   -0.462034 8.47444e-05
           8   -0.462298   -0.462067   8.032e-05
           9   -0.462096   -0.462071 7.14583e-05
          10   -0.462146   -0.462078 6.47051e-05
          11   -0.462077   -0.462078  5.8823e-05
          12   -0.461835   -0.462058 5.72943e-05
          13   -0.462792   -0.462114 7.57751e-05
          14   -0.462346   -0.462131 7.21547e-05
          15   -0.461641   -0.462098 7.43722e-05
          16    -0.46242   -0.462118 7.23935e-05
          17   -0.462314    -0.46213 6.90484e-05
          18   -0.462206   -0.462134 6.53407e-05
          19   -0.461614   -0.462107 6.73983e-05
          20   -0.463682   -0.462185 9.99552e-05
