#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.8939      1.8939           0
           2     1.87196     1.88293  0.00775838
           3     1.90915     1.89167  0.00881388
           4     1.91396     1.89724  0.00818459
           5     1.91622     1.90104  0.00737552
           6     1.90677     1.90199  0.00620784
           7     1.89959     1.90165  0.00533045
           8      1.8881     1.89996  0.00492573
           9     1.89258     1.89914  0.00444607
          10     1.89557     1.89878  0.00401571
          11     1.92007     1.90072  0.00409067
          12     1.90386     1.90098  0.00375818
          13     1.91292      1.9019  0.00357967
          14     1.90543     1.90215  0.00333284
          15     1.90261     1.90218  0.00311079
          16      1.9275     1.90376  0.00329429
          17     1.93772     1.90576  0.00365639
          18     1.90679     1.90582  0.00345371
          19     1.90123     1.90558  0.00328036
          20     1.90246     1.90542  0.00312005
