#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.721436   -0.721436           0
           2   -0.719865    -0.72065 0.000555503
           3   -0.721358   -0.720886 0.000417367
           4   -0.720678   -0.720834  0.00031624
           5   -0.720624   -0.720792 0.000255771
           6   -0.720398   -0.720727 0.000221402
           7   -0.720492   -0.720693 0.000192291
           8    -0.72052   -0.720671 0.000169467
           9   -0.719688   -0.720562 0.000182494
          10   -0.720399   -0.720546 0.000164971
          11   -0.720676   -0.720558 0.000150397
          12   -0.720378   -0.720543 0.000138611
          13   -0.720278   -0.720522 0.000129439
          14   -0.720426   -0.720515 0.000120378
          15    -0.71986   -0.720472  0.00012002
          16   -0.720622   -0.720481 0.000112884
          17   -0.722002    -0.72057 0.000137176
          18   -0.721378   -0.720615 0.000136701
          19   -0.720703    -0.72062 0.000129585
          20   -0.720494   -0.720614 0.000123259
