#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1        -0.2        -0.2           0
           2       -0.36       -0.28   0.0565685
           3       -0.52       -0.36   0.0754247
           4       -0.44       -0.38   0.0591608
           5       -0.52      -0.408   0.0535462
           6       -0.44   -0.413333   0.0448867
           7       -0.36   -0.405714   0.0391156
           8       -0.52       -0.42   0.0367423
           9        -0.6       -0.44   0.0377124
          10       -0.44       -0.44   0.0339411
          11       -0.52   -0.447273   0.0316252
          12       -0.44   -0.446667   0.0289955
          13       -0.68   -0.464615   0.0318394
          14       -0.68       -0.48   0.0330738
          15       -0.68   -0.493333   0.0334487
          16       -0.52      -0.495   0.0313996
          17       -0.44   -0.491765   0.0297188
          18       -0.52   -0.493333   0.0281091
          19       -0.52   -0.494737   0.0266647
          20       -0.44      -0.492   0.0254716
          21       -0.52   -0.493333   0.0242935
          22       -0.52   -0.494545   0.0232195
          23       -0.52   -0.495652   0.0222363
          24       -0.36       -0.49   0.0220164
          25        -0.6     -0.4944   0.0215709
          26       -0.52   -0.495385   0.0207638
          27       -0.52   -0.496296   0.0200147
          28       -0.44   -0.494286   0.0194006
          29        -0.6   -0.497931   0.0190711
          30       -0.36   -0.493333   0.0189815
          31       -0.36   -0.489032   0.0188502
          32        -0.2       -0.48   0.0203101
          33       -0.36   -0.476364   0.0200175
          34       -0.12   -0.465882   0.0220023
          35       -0.36   -0.462857   0.0215807
          36       -0.44   -0.462222   0.0209906
          37        -0.6   -0.465946   0.0207509
          38       -0.44   -0.465263   0.0202161
          39        -0.6   -0.468718   0.0199907
          40       -0.36      -0.466   0.0196749
          41       -0.44   -0.465366   0.0192052
          42       -0.52   -0.466667   0.0187919
          43        -0.6   -0.469767    0.018609
          44       -0.52   -0.470909    0.018221
          45       -0.36   -0.468444    0.017982
          46        -0.6   -0.471304   0.0178171
          47        -0.6   -0.474043   0.0176472
          48       -0.52      -0.475   0.0173055
          49       -0.36   -0.472653   0.0171107
          50       -0.44      -0.472   0.0167809
          51        -0.6    -0.47451   0.0166385
          52       -0.52   -0.475385   0.0163415
          53       -0.36   -0.473208   0.0161776
          54       -0.28    -0.46963   0.0162688
          55       -0.36   -0.467636   0.0160947
          56       -0.36   -0.465714   0.0159216
          57       -0.36    -0.46386     0.01575
          58       -0.44   -0.463448   0.0154838
          59       -0.36   -0.461695   0.0153203
          60       -0.52   -0.462667   0.0150957
