#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0826784   0.0826784           0
           2    0.082298   0.0824882 0.000134492
           3   0.0876464   0.0842076  0.00140674
           4   0.0825748   0.0837994  0.00111271
           5   0.0912496   0.0852894  0.00160268
           6   0.0897784   0.0860376  0.00150006
           7   0.0890372   0.0864661  0.00134558
           8   0.0875732   0.0866045  0.00118448
           9   0.0857068   0.0865048  0.00105706
          10    0.083692   0.0862235 0.000988069
          11   0.0848664   0.0861001 0.000905914
          12    0.093458   0.0867133  0.00101697
          13   0.0959908   0.0874269  0.00116248
          14   0.0846344   0.0872275  0.00109643
          15   0.0859916   0.0871451  0.00102642
          16   0.0948244    0.087625  0.00106861
          17    0.089404   0.0877297  0.00101086
          18    0.091292   0.0879276 0.000973884
          19   0.0845548   0.0877501 0.000938666
          20   0.0894328   0.0878342 0.000895495
