#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682804   -0.682804           0
           2   -0.682648   -0.682726 5.51543e-05
           3   -0.683228   -0.682893 0.000141488
           4   -0.682862   -0.682885 0.000106338
           5   -0.683117   -0.682932 9.46071e-05
           6    -0.68261   -0.682878 9.27631e-05
           7   -0.682037   -0.682758 0.000136763
           8   -0.681322   -0.682578 0.000206143
           9   -0.681557   -0.682465 0.000212207
          10   -0.681986   -0.682417 0.000196326
          11   -0.682284   -0.682405  0.00017885
          12   -0.682371   -0.682402 0.000163968
          13   -0.681921   -0.682365  0.00015548
          14   -0.681788   -0.682324 0.000149739
          15    -0.68143   -0.682264  0.00015116
          16   -0.681444   -0.682213 0.000150154
          17   -0.682518   -0.682231 0.000142387
          18   -0.683526   -0.682303 0.000151578
          19   -0.681479    -0.68226 0.000149672
          20   -0.682015   -0.682247 0.000142686
