#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0312568   0.0312568           0
           2   0.0308844   0.0310706 0.000131663
           3    0.033248   0.0317964 0.000599078
           4   0.0339152   0.0323261 0.000642118
           5   0.0361932   0.0330995 0.000861641
           6    0.035516   0.0335023 0.000806687
           7    0.037108   0.0340174 0.000839956
           8   0.0346544    0.034097 0.000738726
           9   0.0326672   0.0339381 0.000673511
          10    0.031512   0.0336955 0.000648387
          11    0.034928   0.0338076 0.000599045
          12   0.0355192   0.0339502 0.000565851
          13   0.0345944   0.0339998 0.000524489
          14    0.037778   0.0342696 0.000552109
          15   0.0334244   0.0342133 0.000518169
          16   0.0316228   0.0340514 0.000510451
          17   0.0397324   0.0343856 0.000579581
          18   0.0348048   0.0344088  0.00054785
          19    0.029572   0.0341543 0.000575128
          20   0.0347564   0.0341844 0.000547159
