#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.966486   -0.966486           0
           2   -0.974205   -0.970346  0.00272887
           3    -0.97255   -0.971081  0.00191566
           4   -0.973772   -0.971753  0.00155042
           5    -0.97542   -0.972487  0.00140308
           6   -0.971346   -0.972297  0.00118205
           7   -0.972913   -0.972385  0.00101646
           8   -0.978234   -0.973116  0.00112201
           9   -0.971625    -0.97295  0.00100949
          10   -0.974092   -0.973064  0.00091498
          11   -0.977369   -0.973456 0.000911647
          12   -0.976874    -0.97374 0.000879046
          13   -0.971686   -0.973582 0.000825505
          14   -0.973317   -0.973563 0.000766759
          15    -0.97383   -0.973581 0.000715848
          16   -0.974017   -0.973608 0.000671625
          17   -0.974376   -0.973654 0.000633633
          18   -0.974928   -0.973724 0.000602373
          19   -0.977189   -0.973907 0.000597629
          20   -0.976215   -0.974022 0.000578786
