#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.46439     4.46439           0
           2      4.3696     4.41699   0.0335119
           3     4.28785     4.37394    0.041648
           4     4.48556     4.40185   0.0394923
           5     4.37958     4.39739   0.0318439
           6     4.31419     4.38353   0.0294013
           7     4.44826     4.39277   0.0266156
           8     4.46622     4.40196   0.0248214
           9     4.47882      4.4105   0.0234869
          10     4.38181     4.40763   0.0213127
          11     4.44609     4.41112   0.0196599
          12     4.36056     4.40691   0.0184676
          13     4.38428     4.40517   0.0171289
          14     4.36043     4.40197   0.0162007
          15     4.46274     4.40602    0.015619
          16     4.47181     4.41014   0.0151743
          17     4.40458     4.40981   0.0142852
          18     4.33822     4.40583   0.0140343
          19     4.36172     4.40351   0.0134864
          20     4.42826     4.40475   0.0128687
