#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.463356    0.463356           0
           2    0.458299    0.460827  0.00178799
           3     0.45103    0.457561  0.00292091
           4    0.441065    0.453437  0.00418987
           5     0.44081    0.450912  0.00404199
           6    0.464931    0.453248  0.00398684
           7    0.477363    0.456693  0.00467443
           8    0.441061    0.454739  0.00447996
           9    0.445665    0.453731  0.00409407
          10    0.426584    0.451016  0.00449551
          11    0.452736    0.451173  0.00408955
          12    0.486046    0.454079  0.00466849
          13    0.452028    0.453921  0.00431204
          14    0.447326     0.45345  0.00402969
          15    0.402349    0.450043  0.00499774
          16     0.43899    0.449352  0.00473289
          17    0.511988    0.453037  0.00571132
          18    0.418256    0.451105  0.00571154
          19    0.412675    0.449082  0.00575793
          20    0.451888    0.449222  0.00547175
