#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0405068   0.0405068           0
           2   0.0431348   0.0418208 0.000929138
           3   0.0435368   0.0423928 0.000775765
           4   0.0424788   0.0424143 0.000582121
           5   0.0436944   0.0426703 0.000518952
           6     0.04733   0.0434469 0.000830439
           7    0.046318   0.0438571 0.000806758
           8    0.043764   0.0438454 0.000705997
           9    0.040784   0.0435053 0.000704752
          10   0.0398908   0.0431438 0.000721033
          11   0.0430832   0.0431383 0.000655505
          12   0.0472128   0.0434779 0.000683181
          13   0.0456308   0.0436435 0.000650392
          14    0.049396   0.0440544 0.000722158
          15   0.0461604   0.0441948 0.000687527
          16   0.0399852   0.0439317 0.000693071
          17   0.0510412   0.0443499 0.000768185
          18   0.0465208   0.0444705 0.000734915
          19    0.038518   0.0441572 0.000760084
          20   0.0424612   0.0440724 0.000726795
