#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.61123     3.61123           0
           2      3.6027     3.60697   0.0030151
           3     3.52937      3.5811   0.0212138
           4     3.59251     3.58395   0.0161009
           5     3.53441     3.57404   0.0156354
           6     3.58945     3.57661   0.0132386
           7     3.58338     3.57758   0.0113826
           8      3.5871     3.57877   0.0100218
           9     3.59409     3.58047  0.00905163
          10     3.61277      3.5837  0.00870375
          11     3.57331     3.58276  0.00796359
          12     3.59595     3.58386  0.00737547
          13     3.60129      3.5852  0.00692902
          14     3.54146     3.58207   0.0071034
          15     3.59304      3.5828  0.00666734
          16     3.62984     3.58574  0.00686821
          17     3.59342      3.5862  0.00647902
          18     3.56338     3.58493  0.00624178
          19      3.5471     3.58294  0.00622267
          20     3.60729     3.58415  0.00602953
