   0.0942809           0    0.100949  0.00949425
    0.282843       1.874    0.769083   0.0315208
    0.471405       1.646     2.07396   0.0565451
    0.659966       5.016     3.92505   0.0672484
    0.848528        7.67     6.25507   0.0933168
     1.03709       6.768     7.75508   0.0914829
     1.22565       6.016     9.49602    0.115767
     1.41421      12.256     9.70735    0.116828
     1.60278      13.214     10.0565    0.115079
     1.79134       9.512     9.95259    0.111717
      1.9799       9.184     9.65242    0.104717
     2.16846        5.89     8.71022    0.100535
     2.35702        3.62     7.31413     0.10554
     2.54558       6.302     5.58157    0.104317
     2.73415       4.572     4.79885    0.081787
     2.92271       4.048      3.6239   0.0617407
     3.11127       2.374     2.72018   0.0599626
     3.29983       2.658     1.92542   0.0490745
     3.48839        2.63     1.33202   0.0405618
     3.67696       2.376     0.80376    0.032688
     3.86552       0.258    0.547461   0.0282932
     4.05408       0.066     0.29832   0.0196753
     4.24264        0.05    0.236848   0.0196191
      4.4312           0    0.158597   0.0158892
     4.61976           0    0.125328   0.0152564
     4.80833           0   0.0402027  0.00723386
     4.99689           0    0.026032  0.00603023
     5.18545           0  0.00831467  0.00274078
     5.37401           0  0.00474133  0.00269734
     5.56257           0 6.93333e-05 6.92408e-05
   0.0942809       0.212    0.101245  0.00947359
    0.282843       2.774    0.774415   0.0318848
    0.471405        1.28     2.07185   0.0564342
    0.659966       2.454     3.92113   0.0671833
    0.848528       7.444     6.25823   0.0931222
     1.03709        7.37     7.75406   0.0912453
     1.22565        9.34     9.49561     0.11546
     1.41421       8.856     9.70509    0.116539
     1.60278      11.914     10.0614    0.114879
     1.79134      10.598      9.9543    0.111433
      1.9799      11.046     9.65613    0.104504
     2.16846       5.402     8.70143    0.100652
     2.35702        6.68     7.31245    0.105272
     2.54558       5.834     5.58224    0.104041
     2.73415       2.332     4.79229   0.0818322
     2.92271       5.446     3.62875   0.0617664
     3.11127        3.61     2.72254   0.0598498
     3.29983       1.266     1.92367   0.0489753
     3.48839       1.596     1.33272     0.04046
     3.67696       1.938    0.806777   0.0327399
     3.86552       0.382    0.547021   0.0282213
     4.05408       0.226    0.298128   0.0196239
     4.24264           0    0.236218    0.019577
      4.4312           0    0.158176   0.0158526
     4.61976           0    0.124995   0.0152195
     4.80833           0   0.0400957  0.00721541
     4.99689           0   0.0259628  0.00601459
     5.18545           0  0.00829255  0.00273358
     5.37401           0  0.00472872  0.00269019
     5.56257           0 6.91489e-05 6.90569e-05
   0.0942809           0    0.100976  0.00945227
    0.282843       2.154    0.778074   0.0320095
    0.471405       1.328     2.06987    0.056319
    0.659966       3.752     3.92068   0.0670066
    0.848528       8.324     6.26371   0.0930363
     1.03709       4.832     7.74631   0.0913319
     1.22565       8.244     9.49229    0.115201
     1.41421       10.01      9.7059    0.116233
     1.60278       7.532     10.0547     0.11477
     1.79134      13.368     9.96336    0.111505
      1.9799       11.79     9.66179     0.10438
     2.16846        8.89     8.70193    0.100386
     2.35702       6.214     7.30953    0.105033
     2.54558       6.062     5.58351    0.103773
     2.73415       3.992     4.79016   0.0816426
     2.92271       3.718     3.62899    0.061603
     3.11127         1.7     2.71983   0.0597525
     3.29983       1.374     1.92221   0.0488671
     3.48839       0.566     1.33069   0.0404037
     3.67696        3.08    0.812806   0.0332037
     3.86552       1.004    0.548233   0.0281725
     4.05408       0.066    0.297512   0.0195815
     4.24264           0    0.235592   0.0195351
      4.4312           0    0.157756   0.0158161
     4.61976           0    0.124663   0.0151827
     4.80833           0   0.0399894  0.00719705
     4.99689           0   0.0258939  0.00599903
     5.18545           0  0.00827056  0.00272642
     5.37401           0  0.00471618  0.00268308
     5.56257           0 6.89655e-05  6.8874e-05
   0.0942809       0.664    0.102466  0.00954389
    0.282843       2.002    0.781312   0.0320882
    0.471405       3.234     2.07295   0.0562541
    0.659966       2.832      3.9178   0.0668912
    0.848528        5.77      6.2624   0.0927993
     1.03709       5.754     7.74104   0.0912422
     1.22565      11.948     9.49878     0.11508
     1.41421        7.29     9.69951    0.116101
     1.60278       8.226     10.0499    0.114568
     1.79134      12.488     9.97004    0.111409
      1.9799        8.99     9.66001    0.104119
     2.16846       9.892     8.70507     0.10017
     2.35702       9.718      7.3159    0.104949
     2.54558       6.206     5.58516    0.103512
     2.73415       1.458     4.78135   0.0819012
     2.92271        2.87     3.62698   0.0614728
     3.11127       2.048     2.71805   0.0596209
     3.29983        2.72     1.92432   0.0487833
     3.48839       0.446     1.32835   0.0403646
     3.67696       3.182    0.819074   0.0337022
     3.86552       0.262    0.547476   0.0281081
     4.05408           0    0.296725   0.0195455
     4.24264           0    0.234968   0.0194934
      4.4312           0    0.157339   0.0157797
     4.61976           0    0.124333   0.0151461
     4.80833           0   0.0398836  0.00717879
     4.99689           0   0.0258254  0.00598355
     5.18545           0  0.00824868  0.00271929
     5.37401           0   0.0047037  0.00267602
     5.56257           0 6.87831e-05  6.8692e-05
   0.0942809       0.692    0.104021  0.00964464
    0.282843        1.23    0.782496   0.0320254
    0.471405       2.276     2.07349   0.0561082
    0.659966        3.52     3.91675   0.0667229
    0.848528       4.836     6.25864   0.0926307
     1.03709       7.516     7.74044   0.0910034
     1.22565      11.552      9.5042    0.114904
     1.41421       9.712     9.69954    0.115795
     1.60278       9.788     10.0492    0.114268
     1.79134        9.22     9.96806    0.111133
      1.9799      10.442     9.66207    0.103865
     2.16846         8.8     8.70532   0.0999059
     2.35702       5.396     7.31084    0.104794
     2.54558       7.958     5.59142    0.103428
     2.73415       3.574     4.77816    0.081747
     2.92271       3.736     3.62727   0.0613112
     3.11127       1.296      2.7143   0.0595815
     3.29983       2.516     1.92588   0.0486796
     3.48839        0.33     1.32572   0.0403439
     3.67696       3.108    0.825113   0.0341502
     3.86552       0.502    0.547356   0.0280342
     4.05408           0    0.295942   0.0195096
     4.24264           0    0.234348   0.0194518
      4.4312           0    0.156923   0.0157435
     4.61976           0    0.124005   0.0151097
     4.80833           0   0.0397784  0.00716062
     4.99689           0   0.0257573  0.00596815
     5.18545           0  0.00822691  0.00271221
     5.37401           0  0.00469129  0.00266898
     5.56257           0 6.86016e-05  6.8511e-05
   0.0942809       0.024    0.103811  0.00962156
    0.282843       1.662    0.784811   0.0320246
    0.471405       2.906     2.07568   0.0560033
    0.659966       4.394     3.91801   0.0665592
    0.848528       3.294     6.25084   0.0927149
     1.03709        6.42     7.73697   0.0908303
     1.22565      10.906     9.50789     0.11466
     1.41421       8.508     9.69641    0.115532
     1.60278      10.012     10.0491    0.113968
     1.79134      12.866     9.97568    0.111102
      1.9799      11.188     9.66609    0.103669
     2.16846       7.674     8.70261   0.0996799
     2.35702        5.78     7.30681    0.104596
     2.54558       4.972     5.58979    0.103168
     2.73415       5.446     4.77992   0.0815508
     2.92271       3.186     3.62611   0.0611609
     3.11127       2.438     2.71357   0.0594291
     3.29983       2.366     1.92704   0.0485653
     3.48839        0.82     1.32438   0.0402597
