#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         169     1.98485     2.00394  0.00966434
         170     1.97216     2.00375  0.00960929
         171     1.97048     2.00356  0.00955507
         172     2.01534     2.00363  0.00949976
         173     1.97037     2.00344   0.0094468
         174     1.98053      2.0033  0.00939342
         175     2.03879     2.00351  0.00934193
         176     1.94897      2.0032  0.00929399
         177     1.96466     2.00298  0.00924403
         178     1.99896     2.00296  0.00919213
         179     1.96065     2.00272  0.00914381
         180     1.96274      2.0025  0.00909571
         181     1.95984     2.00226  0.00904851
         182     1.96959     2.00208  0.00900057
         183     1.97008     2.00191  0.00895309
         184     2.01268     2.00197  0.00890462
         185     2.00595     2.00199  0.00885652
         186     1.99057     2.00193  0.00880911
         187     1.97233     2.00177  0.00876343
         188     1.98112     2.00166   0.0087175
         189     1.98997      2.0016   0.0086716
         190     1.95251     2.00134  0.00862981
         191     1.91543     2.00089  0.00859634
         192     1.92402     2.00049  0.00856088
         193     1.95357     2.00025  0.00851998
         194      1.9596     2.00004  0.00847863
         195     1.95401      1.9998  0.00843844
         196      1.9795      1.9997  0.00839602
         197     1.98965     1.99965  0.00835356
         198     1.97749     1.99953  0.00831212
         199     1.97024     1.99939  0.00827165
         200     2.00366     1.99941  0.00823032
         201      1.9924     1.99937  0.00818945
         202     1.99256     1.99934  0.00814897
         203     1.96237     1.99916  0.00811087
         204     1.95555     1.99894  0.00807392
         205     1.97197     1.99881  0.00803561
         206     1.96713     1.99866  0.00799807
         207     1.93305     1.99834  0.00796571
         208     1.95267     1.99812  0.00793044
         209     1.94972     1.99789  0.00789588
         210     1.94047     1.99762  0.00786301
         211     1.98301     1.99755  0.00782605
         212     1.97643     1.99745  0.00778977
         213      1.9767     1.99735  0.00775381
         214     2.02666     1.99749  0.00771878
         215     2.04046     1.99769  0.00768547
         216       2.022      1.9978  0.00765071
         217      2.0303     1.99795  0.00761692
         218     1.92694     1.99762  0.00758894
         219     1.95164     1.99741   0.0075572
         220     1.96375     1.99726  0.00752439
         221      1.9787     1.99718  0.00749082
         222     1.94536     1.99694  0.00746071
         223     1.91236     1.99656  0.00743689
         224     1.90074     1.99614  0.00741598
         225     1.95074     1.99593  0.00738577
         226     2.00885     1.99599  0.00735331
         227     2.00742     1.99604  0.00732109
         228      1.9871       1.996  0.00728908
         229     2.01995     1.99611    0.007258
         230     1.99298     1.99609  0.00722646
         231     1.97344       1.996  0.00719584
         232     1.96046     1.99584  0.00716645
         233     2.01496     1.99592  0.00713616
         234     2.01656     1.99601  0.00710621
         235     2.01335     1.99609  0.00707636
