0	0	0
0.428334	0.778187	0.459299
-0.551078	0.919998	0.602968
0.26361	1.40879	0.915005
-0.247673	1.94309	1.58814
0.494046	2.04218	0.924788
0.31217	3.02122	1.0165
-0.11397	2.77574	0.14579
-0.0305469	3.56108	-0.467624
0.00740837	2.56267	-0.509349
-0.0348935	3.4149	-1.03081
-0.872075	2.92038	-0.797193
-0.239719	3.28877	-1.47868
-0.214265	2.2891	-1.47496
-0.59201	1.40082	-1.73626
-0.381648	2.31103	-1.3795
0.294505	2.95369	-1.01922
0.53409	2.57619	-1.9137
0.567682	2.23816	-0.973169
1.11348	2.21967	-0.135458
1.21629	1.97489	-1.09957
2.07004	2.27308	-0.672728
3.04536	2.18382	-0.874684
3.0368	3.18087	-0.798384
2.88485	3.19859	-1.78661
3.5171	3.26983	-2.5581
3.4777	3.96367	-3.27715
4.03864	4.60718	-3.79796
4.03122	3.64669	-3.51973
4.53766	4.4348	-3.16987
3.779	4.98664	-3.51615
3.23058	5.81326	-3.64238
3.79584	4.99005	-3.58945
4.35078	4.26248	-3.18611
4.25958	4.74146	-2.31304
4.83503	4.44923	-1.54919
4.87686	4.24349	-2.52691
5.4419	3.57044	-2.04968
5.39599	4.26969	-1.33628
6.23337	4.78727	-1.16047
6.1052	4.35033	-0.27016
6.12974	3.96194	-1.19133
6.35932	4.9352	-1.19876
6.82082	4.91289	-2.08562
7.26983	5.18576	-1.23478
8.00726	5.78721	-1.54211
7.55251	5.96218	-0.668844
8.06324	6.12515	-1.513
8.82807	5.58673	-1.15925
8.35408	4.96661	-1.78439
8.98306	5.21603	-2.52071
8.46584	5.71273	-3.21769
8.84644	4.9536	-2.6896
9.6195	4.32845	-2.79718
8.91527	3.8275	-3.30029
7.96547	4.14023	-3.30867
7.51605	4.69049	-4.01239
7.35978	5.4609	-3.3943
7.04732	4.53298	-3.19099
7.03755	4.52014	-4.19086
6.76524	5.42833	-3.87298
6.33908	4.96867	-4.65215
5.95644	5.21818	-3.76258
6.38607	4.74463	-2.9937
7.23874	4.57883	-3.48915
7.74206	3.95374	-2.89257
7.21624	3.47137	-3.59316
6.97435	4.43835	-3.51286
6.58823	3.80476	-4.18329
7.57577	3.85801	-4.33133
7.66683	4.20136	-5.26611
7.93996	5.163	-5.24083
6.96947	5.0385	-5.03428
6.43377	4.79164	-4.22676
6.17429	5.73884	-4.03836
6.42852	6.20268	-4.88701
7.40954	6.30668	-5.05069
6.91296	5.49559	-5.35978
7.18666	5.61063	-6.31469
6.33158	5.73687	-5.81181
6.05955	5.96082	-4.87594
6.28301	6.69576	-4.23568
6.89044	6.43121	-4.98471
7.76126	5.98828	-4.77142
7.61529	6.5755	-3.97527
6.73595	6.61632	-3.50083
6.20229	7.46199	-3.50749
5.21626	7.35356	-3.38109
4.75882	6.55456	-3.77141
4.43165	5.6098	-3.79133
3.5639	5.98686	-3.46754
3.35601	5.03457	-3.69098
4.31042	5.12572	-3.97521
3.40328	5.44897	-4.24468
2.91701	5.76736	-5.05841
2.47149	5.06036	-4.50918
3.07101	5.59023	-5.10902
2.3123	6.22738	-4.97339
2.27608	5.25466	-4.74427
2.08666	5.19677	-5.72446
1.22336	5.00585	-6.19164
