1	0
1.4072	0.00499295
1.73793	0.00764121
2.01102	0.00986027
2.24459	0.0126935
2.46581	0.0160327
2.66177	0.0176138
2.83817	0.020585
3.00909	0.0219994
3.1709	0.0245818
3.31765	0.0245997
3.45673	0.0253572
3.60147	0.0247236
3.74596	0.0276335
3.87433	0.0291412
3.99922	0.0296624
4.11614	0.031858
4.23818	0.035787
4.35309	0.0379107
4.46381	0.0415136
4.5685	0.0422056
4.67784	0.0429554
4.79053	0.0427769
4.89453	0.0435645
4.9953	0.0460588
5.08614	0.0484052
5.18172	0.0470539
5.2887	0.0479656
5.38609	0.0478944
5.47412	0.0492253
5.56031	0.0540404
5.65142	0.0532988
5.74823	0.0525421
5.8375	0.0516679
5.92339	0.050202
6.01157	0.0521943
6.09216	0.0553184
6.17634	0.0559558
6.26461	0.0574707
6.34798	0.0601973
6.41146	0.0619291
6.47653	0.0632553
6.55451	0.0653231
6.6286	0.0666691
6.70218	0.0688821
6.7804	0.0711451
6.85031	0.0706242
6.92469	0.0691427
6.99866	0.0725168
7.05975	0.0754384
7.13985	0.0751683
7.20691	0.0775909
7.27426	0.0770419
7.34837	0.0773563
7.41854	0.0776103
7.49005	0.0797806
7.54795	0.0796827
7.61529	0.0782865
7.69626	0.0805268
7.76357	0.0858417
7.82711	0.0866912
7.88544	0.0888713
7.94112	0.0904922
8.00051	0.0925897
8.06345	0.0961866
8.13406	0.0964773
8.19654	0.098672
8.2597	0.100827
8.32231	0.105508
8.38537	0.108348
8.45861	0.108443
8.50707	0.110643
8.55286	0.111261
8.61475	0.112056
8.67191	0.114377
8.73351	0.115632
8.78559	0.116636
8.84518	0.118276
8.90761	0.119487
8.97196	0.12198
9.03287	0.123171
9.08724	0.122569
9.14115	0.122659
9.2014	0.123731
9.25673	0.122827
9.31777	0.126192
9.36147	0.127005
9.42174	0.128293
9.47549	0.130708
9.52702	0.133638
9.58764	0.132626
9.63706	0.131345
9.69626	0.135597
9.74935	0.137563
9.80862	0.139372
9.87125	0.14136
9.91399	0.142248
9.96876	0.143169
10.0154	0.142423
10.0627	0.141157
